"file";"ID";"N";"M";"DIST";"method";"result"
"N216_M7_normal-wide_K8A4Y9F5";"K8A4Y9F5";216;7;"normal-wide";"kplus";"1, 1, 3, 2, 2, 1, 2, 3, 2, 1, 2, 1, 1, 1, 3, 1, 2, 2, 1, 3, 1, 1, 2, 1, 1, 1, 2, 1, 3, 3, 1, 2, 3, 3, 2, 3, 1, 2, 3, 3, 2, 3, 1, 1, 1, 2, 2, 1, 3, 2, 1, 2, 3, 1, 2, 1, 3, 2, 2, 1, 1, 3, 3, 2, 2, 2, 3, 3, 1, 1, 1, 3, 3, 2, 2, 3, 2, 1, 1, 1, 3, 3, 3, 1, 3, 3, 3, 2, 2, 3, 2, 1, 1, 2, 3, 3, 1, 1, 3, 2, 2, 1, 3, 1, 2, 1, 3, 1, 1, 1, 1, 1, 2, 3, 2, 3, 1, 3, 3, 3, 2, 2, 3, 2, 3, 1, 3, 2, 2, 3, 2, 3, 1, 2, 3, 3, 3, 1, 2, 3, 1, 3, 2, 2, 1, 2, 3, 3, 3, 3, 3, 1, 1, 1, 2, 1, 1, 2, 1, 2, 2, 1, 2, 3, 2, 3, 2, 3, 3, 2, 2, 2, 3, 2, 3, 2, 2, 3, 2, 3, 2, 2, 1, 1, 1, 3, 3, 2, 1, 1, 1, 3, 2, 3, 1, 3, 3, 1, 3, 1, 2, 2, 2, 2, 3, 1, 1, 1, 3, 1, 1, 2, 2, 2, 3, 2"
"N216_M7_normal-wide_K8A4Y9F5";"K8A4Y9F5";216;7;"normal-wide";"random";"3, 3, 1, 3, 2, 1, 2, 2, 3, 1, 2, 2, 3, 2, 2, 1, 3, 1, 2, 1, 3, 3, 3, 3, 1, 1, 3, 3, 1, 1, 2, 2, 1, 2, 2, 3, 1, 2, 1, 2, 3, 2, 2, 3, 2, 1, 2, 3, 2, 3, 1, 2, 1, 2, 1, 2, 2, 2, 2, 2, 1, 3, 1, 3, 3, 3, 1, 3, 3, 1, 2, 2, 1, 3, 3, 2, 1, 3, 3, 2, 3, 2, 2, 3, 3, 3, 2, 2, 1, 2, 1, 2, 1, 3, 2, 1, 2, 1, 1, 1, 1, 2, 3, 1, 3, 1, 2, 1, 2, 3, 3, 1, 1, 1, 2, 3, 2, 3, 1, 1, 3, 3, 2, 2, 1, 1, 2, 1, 1, 1, 3, 2, 2, 3, 1, 2, 3, 3, 1, 3, 2, 1, 1, 2, 2, 1, 2, 2, 3, 3, 2, 3, 1, 2, 3, 3, 1, 2, 2, 3, 2, 3, 3, 2, 3, 1, 2, 3, 3, 2, 3, 2, 3, 1, 3, 3, 1, 2, 2, 3, 1, 1, 3, 3, 1, 3, 3, 1, 1, 3, 3, 1, 2, 1, 2, 2, 3, 2, 2, 3, 3, 1, 1, 1, 1, 3, 1, 2, 1, 1, 1, 1, 1, 2, 1, 3"
"N192_M1_normal-wide_N2S7W0F1";"N2S7W0F1";192;1;"normal-wide";"ace-exchange";"2, 1, 3, 1, 1, 1, 2, 3, 2, 1, 2, 1, 2, 2, 1, 1, 3, 2, 2, 2, 1, 2, 3, 3, 2, 2, 3, 1, 1, 1, 2, 3, 1, 3, 2, 2, 2, 3, 3, 1, 1, 2, 1, 2, 2, 3, 3, 2, 3, 3, 3, 2, 2, 3, 2, 2, 3, 1, 3, 2, 2, 1, 3, 2, 2, 1, 1, 3, 1, 3, 3, 2, 3, 1, 3, 2, 3, 1, 1, 1, 3, 1, 3, 3, 1, 3, 3, 3, 1, 3, 1, 1, 2, 3, 3, 1, 1, 2, 1, 1, 1, 3, 1, 3, 1, 2, 3, 3, 3, 1, 1, 3, 3, 1, 2, 1, 3, 2, 1, 2, 1, 1, 2, 3, 3, 3, 1, 3, 2, 3, 2, 3, 2, 3, 2, 3, 3, 1, 2, 3, 1, 2, 1, 3, 1, 1, 2, 2, 2, 3, 2, 3, 1, 3, 2, 3, 2, 2, 2, 3, 1, 2, 1, 2, 3, 3, 1, 2, 1, 1, 2, 2, 3, 2, 1, 1, 3, 1, 2, 1, 2, 3, 2, 2, 1, 1, 1, 2, 2, 2, 3, 1"
"N192_M1_normal-wide_N2S7W0F1";"N2S7W0F1";192;1;"normal-wide";"k-means-exchange";"1, 2, 3, 2, 3, 3, 1, 2, 1, 3, 3, 2, 3, 3, 2, 1, 3, 2, 2, 3, 2, 3, 3, 2, 2, 1, 1, 3, 3, 3, 3, 1, 2, 3, 2, 2, 3, 1, 2, 3, 1, 2, 2, 2, 1, 1, 2, 3, 1, 2, 3, 2, 2, 1, 1, 2, 3, 1, 3, 1, 2, 1, 2, 2, 1, 2, 1, 2, 2, 3, 3, 1, 3, 2, 2, 1, 3, 1, 3, 3, 1, 1, 1, 1, 1, 3, 3, 2, 2, 2, 1, 2, 3, 1, 3, 3, 2, 2, 1, 3, 3, 1, 1, 2, 1, 3, 2, 3, 2, 3, 3, 3, 3, 2, 1, 2, 1, 3, 1, 2, 3, 3, 1, 2, 1, 3, 2, 1, 1, 1, 2, 1, 2, 3, 3, 1, 1, 1, 1, 3, 1, 3, 3, 1, 2, 1, 2, 2, 2, 3, 2, 2, 1, 2, 3, 1, 3, 2, 2, 3, 3, 2, 3, 1, 1, 2, 3, 1, 1, 1, 2, 2, 1, 2, 2, 2, 1, 1, 3, 1, 1, 3, 3, 2, 3, 1, 3, 1, 3, 2, 1, 3"
"N192_M1_normal-wide_N2S7W0F1";"N2S7W0F1";192;1;"normal-wide";"kplus";"1, 3, 2, 2, 2, 2, 2, 1, 2, 1, 1, 1, 2, 3, 2, 2, 3, 2, 3, 3, 2, 1, 2, 1, 2, 1, 1, 3, 1, 2, 2, 1, 1, 3, 3, 2, 3, 3, 3, 1, 3, 3, 3, 2, 3, 3, 1, 1, 3, 2, 2, 3, 1, 1, 1, 3, 1, 3, 3, 1, 2, 2, 2, 2, 1, 3, 3, 1, 2, 3, 3, 2, 1, 1, 3, 1, 1, 3, 1, 1, 2, 3, 2, 1, 1, 2, 3, 1, 3, 2, 3, 1, 3, 2, 3, 3, 1, 1, 2, 1, 3, 3, 2, 2, 1, 3, 3, 2, 1, 2, 3, 1, 2, 3, 1, 1, 2, 1, 2, 1, 2, 2, 3, 1, 1, 2, 1, 1, 2, 3, 3, 3, 1, 1, 1, 3, 3, 3, 2, 2, 2, 1, 2, 1, 3, 2, 2, 3, 3, 3, 1, 3, 2, 1, 2, 2, 1, 2, 3, 3, 2, 3, 2, 3, 1, 2, 2, 2, 2, 1, 3, 2, 3, 2, 1, 1, 1, 3, 1, 1, 1, 3, 3, 1, 1, 3, 2, 2, 2, 3, 3, 2"
"N192_M1_normal-wide_N2S7W0F1";"N2S7W0F1";192;1;"normal-wide";"random";"1, 2, 2, 1, 2, 2, 1, 3, 1, 3, 2, 3, 1, 1, 3, 3, 2, 3, 1, 1, 1, 2, 1, 2, 1, 1, 3, 3, 2, 1, 3, 3, 2, 1, 2, 2, 1, 1, 3, 2, 1, 2, 2, 2, 1, 3, 2, 2, 3, 3, 1, 3, 3, 2, 3, 3, 3, 3, 3, 3, 2, 3, 1, 2, 3, 3, 2, 1, 3, 3, 2, 1, 2, 1, 2, 2, 2, 2, 3, 2, 2, 3, 3, 2, 1, 1, 1, 2, 2, 3, 1, 1, 2, 3, 2, 1, 3, 1, 2, 3, 2, 1, 3, 3, 1, 1, 1, 3, 1, 3, 2, 2, 1, 2, 2, 1, 3, 1, 3, 2, 2, 3, 1, 1, 3, 1, 1, 1, 2, 3, 1, 1, 3, 3, 1, 1, 3, 1, 3, 2, 2, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 3, 1, 3, 3, 3, 2, 2, 3, 2, 1, 2, 1, 3, 1, 3, 3, 3, 2, 2, 3, 3, 1, 3, 3, 2, 2, 3, 2, 1, 2, 2, 3, 2, 1, 2, 2, 1, 1, 3, 3, 2"
"N96_M5_normal-wide_D2S0A1B3";"D2S0A1B3";96;5;"normal-wide";"ace-exchange";"1, 2, 2, 3, 2, 1, 3, 1, 1, 3, 2, 3, 3, 3, 1, 1, 1, 1, 1, 2, 2, 2, 3, 1, 3, 3, 2, 1, 3, 1, 3, 2, 3, 3, 3, 3, 3, 1, 2, 2, 1, 2, 3, 3, 1, 2, 3, 3, 2, 1, 2, 1, 3, 2, 3, 2, 1, 1, 3, 2, 1, 2, 3, 2, 2, 1, 3, 1, 2, 2, 2, 3, 2, 1, 1, 2, 3, 3, 2, 2, 1, 1, 1, 2, 3, 3, 1, 2, 3, 2, 1, 2, 1, 1, 3, 1"
"N96_M5_normal-wide_D2S0A1B3";"D2S0A1B3";96;5;"normal-wide";"k-means-exchange";"2, 1, 1, 2, 3, 2, 1, 1, 2, 2, 2, 1, 1, 2, 1, 2, 3, 2, 1, 1, 2, 1, 3, 3, 1, 3, 3, 3, 2, 1, 1, 3, 3, 1, 3, 3, 3, 2, 2, 2, 2, 1, 3, 3, 3, 2, 2, 1, 2, 3, 1, 1, 1, 2, 2, 2, 3, 1, 3, 1, 1, 2, 1, 1, 2, 3, 3, 3, 1, 1, 1, 3, 3, 1, 1, 3, 2, 3, 3, 2, 2, 3, 2, 1, 3, 1, 2, 3, 2, 2, 2, 3, 2, 3, 1, 3"
"N96_M5_normal-wide_D2S0A1B3";"D2S0A1B3";96;5;"normal-wide";"kplus";"2, 3, 1, 2, 2, 1, 3, 3, 2, 3, 2, 1, 2, 2, 1, 2, 1, 3, 1, 3, 3, 3, 2, 3, 1, 1, 3, 2, 1, 3, 3, 2, 1, 3, 1, 2, 1, 1, 2, 2, 2, 1, 2, 1, 1, 3, 1, 2, 2, 2, 1, 2, 3, 2, 1, 3, 3, 2, 2, 2, 2, 3, 2, 1, 3, 3, 3, 1, 3, 3, 3, 2, 3, 3, 1, 1, 1, 1, 1, 1, 1, 3, 2, 3, 2, 2, 3, 2, 3, 1, 1, 3, 1, 3, 2, 1"
"N96_M5_normal-wide_D2S0A1B3";"D2S0A1B3";96;5;"normal-wide";"random";"3, 1, 2, 1, 3, 3, 3, 3, 3, 3, 1, 2, 3, 3, 3, 3, 2, 2, 2, 3, 3, 1, 1, 1, 2, 2, 2, 2, 3, 3, 1, 3, 1, 2, 1, 3, 2, 1, 3, 3, 2, 1, 3, 3, 2, 1, 2, 3, 2, 2, 2, 1, 2, 1, 1, 1, 1, 2, 3, 3, 2, 2, 3, 1, 2, 2, 1, 3, 1, 2, 2, 1, 2, 2, 1, 1, 3, 3, 1, 1, 2, 1, 1, 1, 2, 3, 3, 1, 2, 1, 1, 2, 3, 1, 2, 3"
"N252_M3_normal-wide_C5L2J7O4";"C5L2J7O4";252;3;"normal-wide";"ace-exchange";"3, 2, 3, 2, 3, 2, 3, 3, 3, 2, 1, 2, 3, 2, 2, 1, 2, 3, 3, 1, 2, 1, 3, 2, 1, 1, 3, 3, 2, 2, 3, 2, 2, 3, 3, 1, 1, 1, 3, 3, 3, 2, 3, 3, 3, 2, 2, 1, 2, 1, 1, 3, 3, 2, 1, 1, 2, 1, 1, 2, 3, 2, 1, 1, 2, 1, 1, 2, 3, 3, 3, 2, 3, 2, 3, 2, 2, 3, 1, 3, 3, 2, 3, 2, 3, 1, 1, 1, 2, 1, 2, 2, 1, 3, 3, 1, 2, 2, 1, 2, 1, 2, 2, 1, 1, 1, 3, 2, 1, 3, 2, 1, 3, 3, 1, 3, 3, 1, 1, 1, 2, 3, 1, 1, 3, 1, 3, 2, 2, 2, 3, 2, 1, 3, 1, 3, 3, 3, 3, 3, 2, 2, 1, 1, 2, 2, 2, 1, 3, 3, 2, 3, 2, 1, 3, 2, 3, 2, 1, 3, 1, 3, 1, 3, 2, 1, 1, 3, 2, 1, 2, 2, 2, 1, 3, 1, 1, 1, 1, 2, 2, 3, 3, 3, 3, 3, 1, 3, 3, 2, 2, 3, 1, 1, 1, 1, 3, 2, 1, 3, 2, 1, 1, 2, 1, 2, 1, 3, 1, 2, 2, 3, 2, 1, 1, 1, 2, 1, 2, 1, 1, 3, 1, 3, 3, 2, 3, 2, 2, 1, 2, 1, 1, 3, 2, 2, 3, 1, 2, 3, 2, 3, 2, 3, 1, 2, 1, 2, 1, 2, 3, 1"
"N252_M3_normal-wide_C5L2J7O4";"C5L2J7O4";252;3;"normal-wide";"k-means-exchange";"1, 2, 2, 3, 2, 2, 1, 2, 3, 1, 3, 2, 2, 1, 3, 1, 3, 3, 2, 1, 2, 2, 3, 2, 3, 3, 2, 3, 3, 1, 1, 2, 1, 3, 2, 1, 3, 3, 1, 2, 3, 1, 1, 1, 2, 2, 3, 1, 3, 2, 3, 1, 1, 3, 3, 2, 1, 1, 3, 2, 3, 2, 2, 1, 3, 2, 1, 3, 2, 3, 1, 2, 3, 3, 3, 2, 1, 2, 1, 1, 2, 3, 1, 1, 2, 1, 2, 2, 2, 1, 3, 2, 3, 3, 3, 2, 3, 2, 3, 1, 2, 1, 2, 2, 1, 3, 3, 1, 1, 3, 1, 3, 3, 3, 1, 3, 2, 2, 2, 3, 3, 1, 2, 3, 1, 3, 2, 2, 3, 2, 1, 2, 3, 1, 2, 1, 3, 2, 1, 3, 3, 1, 1, 1, 1, 2, 3, 1, 3, 3, 1, 2, 1, 2, 3, 1, 3, 1, 1, 3, 2, 2, 1, 3, 1, 1, 3, 3, 2, 2, 3, 3, 2, 1, 2, 2, 2, 3, 3, 2, 2, 3, 1, 1, 3, 3, 3, 2, 1, 3, 2, 1, 2, 2, 1, 1, 2, 1, 1, 3, 1, 2, 2, 1, 2, 3, 2, 1, 3, 1, 1, 3, 3, 3, 3, 2, 2, 2, 1, 2, 2, 2, 1, 1, 2, 2, 1, 2, 3, 1, 2, 1, 3, 1, 1, 1, 3, 1, 1, 2, 1, 2, 1, 3, 3, 3, 2, 3, 1, 3, 1, 2"
"N252_M3_normal-wide_C5L2J7O4";"C5L2J7O4";252;3;"normal-wide";"kplus";"1, 1, 2, 2, 3, 2, 2, 2, 3, 2, 1, 2, 3, 1, 3, 2, 1, 1, 1, 2, 1, 3, 1, 3, 1, 1, 1, 1, 3, 1, 2, 1, 3, 3, 3, 3, 3, 1, 2, 1, 1, 2, 3, 2, 3, 3, 2, 3, 3, 3, 3, 3, 3, 2, 2, 3, 2, 1, 1, 3, 1, 3, 2, 1, 3, 1, 2, 3, 1, 1, 1, 1, 3, 1, 2, 2, 1, 3, 3, 1, 3, 1, 1, 3, 2, 3, 1, 1, 1, 1, 1, 2, 2, 3, 3, 2, 3, 1, 1, 3, 2, 1, 1, 1, 1, 1, 3, 3, 2, 3, 3, 1, 1, 2, 2, 2, 3, 2, 1, 2, 1, 3, 2, 1, 1, 1, 3, 3, 2, 2, 2, 3, 1, 1, 3, 1, 2, 2, 2, 1, 3, 3, 2, 3, 2, 1, 3, 2, 2, 1, 1, 2, 2, 1, 3, 1, 3, 3, 1, 2, 3, 1, 2, 1, 2, 2, 3, 2, 2, 2, 2, 1, 3, 2, 2, 1, 1, 3, 1, 1, 1, 3, 3, 1, 1, 1, 3, 1, 3, 1, 3, 3, 3, 2, 3, 3, 3, 2, 2, 3, 2, 2, 3, 2, 1, 2, 2, 2, 2, 3, 2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 3, 1, 3, 1, 2, 2, 3, 3, 3, 2, 1, 2, 1, 2, 2, 2, 1, 1, 2, 3, 3, 3, 3, 2, 2, 2, 3, 3, 3, 3, 1, 3"
"N252_M3_normal-wide_C5L2J7O4";"C5L2J7O4";252;3;"normal-wide";"random";"1, 1, 1, 2, 1, 1, 2, 2, 3, 1, 2, 3, 2, 2, 3, 3, 3, 1, 2, 3, 3, 1, 3, 1, 2, 1, 3, 1, 3, 3, 2, 1, 2, 3, 3, 1, 1, 1, 2, 2, 2, 1, 2, 2, 2, 1, 2, 2, 1, 2, 3, 2, 1, 1, 2, 1, 1, 3, 3, 3, 1, 1, 2, 1, 3, 2, 1, 3, 1, 1, 3, 1, 1, 1, 3, 2, 2, 1, 3, 2, 3, 3, 2, 3, 1, 2, 2, 1, 3, 1, 2, 2, 2, 3, 3, 1, 2, 1, 2, 1, 3, 3, 3, 1, 1, 3, 1, 2, 2, 1, 3, 2, 2, 2, 3, 3, 2, 2, 3, 3, 1, 1, 1, 3, 2, 2, 2, 1, 1, 2, 2, 3, 1, 3, 2, 3, 3, 1, 2, 3, 1, 3, 2, 2, 2, 2, 2, 1, 2, 1, 2, 3, 1, 3, 1, 3, 1, 2, 3, 1, 2, 2, 2, 3, 3, 1, 3, 1, 2, 3, 3, 1, 1, 2, 1, 1, 2, 2, 3, 3, 1, 1, 2, 3, 3, 1, 1, 2, 3, 1, 3, 3, 2, 2, 2, 3, 1, 3, 2, 2, 3, 1, 2, 3, 3, 1, 1, 3, 1, 3, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 2, 1, 3, 1, 3, 3, 1, 1, 2, 2, 1, 2, 1, 1, 1, 3, 3, 1, 1, 2, 3, 1, 1, 2, 3, 3, 2, 3, 2, 2, 2"
"N228_M8_normal-wide_R7G1T6S9";"R7G1T6S9";228;8;"normal-wide";"ace-exchange";"2, 2, 1, 1, 3, 1, 1, 1, 2, 1, 3, 1, 1, 3, 3, 2, 2, 3, 3, 3, 1, 2, 1, 3, 1, 2, 1, 3, 2, 3, 3, 2, 3, 3, 2, 3, 1, 1, 1, 3, 1, 3, 1, 1, 3, 1, 3, 1, 2, 2, 3, 1, 2, 1, 3, 2, 2, 1, 3, 3, 1, 2, 1, 1, 2, 3, 3, 3, 2, 2, 1, 3, 2, 2, 2, 1, 3, 3, 1, 2, 3, 2, 3, 2, 1, 3, 2, 3, 3, 3, 1, 2, 3, 2, 3, 3, 2, 1, 1, 1, 2, 1, 2, 1, 3, 1, 3, 2, 2, 1, 2, 2, 3, 3, 2, 2, 1, 1, 3, 2, 2, 3, 1, 3, 2, 3, 3, 1, 2, 3, 3, 2, 1, 1, 1, 1, 2, 2, 1, 2, 2, 2, 3, 3, 2, 1, 2, 1, 3, 3, 2, 3, 1, 2, 1, 3, 1, 1, 3, 2, 2, 1, 1, 2, 2, 3, 3, 3, 1, 2, 2, 1, 3, 1, 2, 1, 3, 2, 2, 2, 1, 2, 2, 1, 2, 3, 1, 1, 1, 3, 3, 2, 3, 3, 1, 2, 1, 2, 2, 3, 1, 1, 2, 3, 3, 3, 3, 1, 2, 2, 2, 1, 1, 1, 2, 3, 1, 1, 3, 3, 2, 3, 1, 3, 2, 2, 1, 3"
"N228_M8_normal-wide_R7G1T6S9";"R7G1T6S9";228;8;"normal-wide";"k-means-exchange";"2, 2, 3, 3, 2, 3, 2, 1, 1, 3, 2, 3, 3, 2, 1, 1, 1, 1, 3, 3, 3, 3, 1, 2, 3, 3, 1, 3, 3, 2, 3, 2, 1, 1, 3, 1, 1, 2, 1, 2, 3, 1, 1, 2, 1, 1, 2, 1, 3, 1, 1, 3, 3, 3, 1, 2, 3, 3, 2, 2, 2, 1, 1, 1, 1, 1, 2, 1, 3, 1, 2, 1, 2, 3, 2, 1, 1, 1, 1, 1, 2, 2, 3, 2, 1, 3, 2, 2, 2, 1, 2, 1, 1, 3, 3, 1, 3, 1, 1, 2, 2, 2, 1, 1, 3, 2, 3, 2, 3, 3, 3, 2, 1, 2, 2, 2, 3, 1, 2, 1, 2, 1, 2, 2, 3, 2, 2, 3, 3, 3, 3, 2, 3, 2, 1, 3, 3, 1, 1, 2, 2, 2, 2, 2, 2, 3, 2, 2, 3, 2, 2, 3, 1, 1, 1, 1, 2, 3, 3, 2, 1, 1, 3, 2, 3, 3, 1, 2, 1, 3, 3, 2, 3, 1, 3, 1, 3, 2, 2, 1, 3, 3, 3, 2, 3, 1, 1, 2, 1, 3, 1, 2, 2, 1, 3, 2, 1, 3, 1, 1, 1, 1, 3, 3, 3, 3, 3, 2, 3, 2, 1, 2, 1, 3, 2, 2, 3, 1, 3, 1, 3, 3, 1, 2, 2, 2, 2, 3"
"N228_M8_normal-wide_R7G1T6S9";"R7G1T6S9";228;8;"normal-wide";"kplus";"3, 1, 2, 3, 3, 3, 1, 3, 3, 2, 3, 3, 3, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 2, 3, 3, 2, 3, 1, 2, 1, 3, 2, 1, 2, 2, 1, 2, 2, 3, 1, 1, 1, 3, 2, 1, 2, 2, 1, 3, 1, 2, 3, 2, 1, 1, 3, 2, 3, 1, 2, 3, 1, 3, 1, 3, 3, 3, 2, 1, 1, 3, 2, 3, 3, 2, 3, 2, 3, 3, 2, 3, 2, 2, 2, 2, 2, 1, 1, 3, 3, 1, 3, 2, 3, 3, 2, 2, 1, 3, 2, 2, 2, 3, 1, 1, 1, 2, 3, 3, 2, 1, 3, 1, 1, 2, 2, 1, 3, 1, 2, 1, 1, 3, 3, 2, 3, 1, 2, 1, 1, 1, 3, 3, 2, 3, 2, 2, 2, 1, 3, 2, 1, 3, 3, 1, 2, 1, 2, 2, 3, 3, 2, 2, 1, 1, 2, 3, 1, 3, 1, 2, 1, 1, 3, 1, 3, 3, 1, 1, 3, 2, 2, 2, 3, 3, 1, 2, 3, 3, 3, 2, 2, 2, 1, 1, 2, 3, 2, 1, 3, 2, 3, 3, 3, 3, 3, 2, 1, 3, 1, 2, 3, 1, 1, 3, 3, 1, 2, 2, 1, 1, 1, 2, 1, 2, 2, 3, 1, 1, 2, 2, 2, 2, 1, 1, 1, 2"
"N228_M8_normal-wide_R7G1T6S9";"R7G1T6S9";228;8;"normal-wide";"random";"2, 3, 2, 1, 3, 3, 3, 1, 1, 2, 3, 1, 1, 3, 2, 2, 1, 3, 2, 2, 1, 1, 2, 1, 1, 1, 2, 2, 3, 2, 2, 3, 3, 3, 1, 3, 3, 2, 1, 3, 1, 2, 1, 1, 3, 3, 3, 1, 1, 3, 3, 3, 3, 1, 2, 2, 2, 1, 1, 1, 2, 3, 2, 3, 2, 3, 1, 1, 1, 1, 1, 3, 3, 2, 2, 1, 1, 2, 1, 1, 1, 2, 3, 2, 3, 2, 1, 3, 2, 1, 2, 3, 1, 3, 3, 1, 1, 3, 1, 3, 1, 3, 1, 1, 2, 1, 2, 2, 2, 1, 3, 2, 2, 1, 2, 2, 1, 3, 2, 3, 3, 2, 2, 1, 3, 1, 2, 1, 3, 1, 1, 3, 2, 1, 2, 1, 2, 3, 1, 1, 2, 1, 3, 3, 2, 3, 2, 2, 3, 3, 2, 2, 1, 1, 1, 3, 2, 2, 2, 3, 1, 2, 3, 1, 2, 3, 2, 3, 2, 3, 1, 2, 1, 3, 2, 2, 1, 1, 3, 2, 2, 1, 3, 1, 1, 1, 2, 1, 2, 3, 2, 2, 1, 2, 1, 3, 3, 3, 3, 1, 2, 2, 3, 3, 1, 3, 3, 3, 2, 2, 3, 2, 2, 3, 3, 3, 2, 2, 3, 1, 2, 2, 1, 3, 1, 3, 3, 3"
"N84_M8_uniform_B0D8M4R5";"B0D8M4R5";84;8;"uniform";"ace-exchange";"3, 3, 2, 3, 1, 3, 2, 1, 3, 1, 3, 2, 1, 3, 2, 3, 1, 2, 3, 2, 2, 3, 1, 2, 2, 2, 1, 2, 1, 2, 2, 2, 1, 2, 3, 1, 1, 3, 1, 1, 2, 2, 3, 3, 1, 2, 3, 2, 3, 1, 2, 3, 1, 3, 3, 2, 1, 3, 1, 1, 1, 1, 3, 3, 3, 1, 3, 1, 2, 1, 3, 3, 1, 2, 1, 2, 2, 2, 1, 2, 3, 1, 2, 3"
"N84_M8_uniform_B0D8M4R5";"B0D8M4R5";84;8;"uniform";"k-means-exchange";"3, 3, 2, 2, 3, 3, 3, 1, 2, 1, 1, 1, 2, 3, 2, 1, 1, 3, 3, 3, 2, 3, 1, 1, 1, 2, 3, 2, 3, 3, 3, 1, 3, 3, 2, 2, 1, 2, 3, 3, 1, 2, 3, 2, 1, 2, 1, 1, 1, 3, 1, 3, 1, 2, 2, 2, 2, 1, 1, 1, 2, 2, 2, 1, 1, 1, 1, 2, 2, 3, 3, 2, 3, 2, 3, 1, 3, 3, 1, 1, 2, 2, 2, 3"
"N84_M8_uniform_B0D8M4R5";"B0D8M4R5";84;8;"uniform";"kplus";"2, 2, 1, 3, 3, 3, 2, 1, 2, 1, 3, 1, 1, 2, 2, 3, 1, 2, 1, 1, 3, 3, 2, 1, 2, 2, 1, 3, 2, 1, 2, 3, 3, 3, 2, 2, 1, 2, 1, 3, 1, 1, 2, 3, 1, 1, 2, 1, 3, 3, 1, 3, 3, 3, 2, 1, 2, 2, 2, 1, 3, 2, 3, 3, 2, 2, 1, 1, 2, 1, 3, 3, 1, 1, 3, 3, 1, 3, 1, 3, 3, 2, 2, 2"
"N84_M8_uniform_B0D8M4R5";"B0D8M4R5";84;8;"uniform";"random";"3, 2, 2, 2, 2, 2, 1, 3, 3, 2, 3, 3, 3, 2, 2, 1, 1, 1, 1, 3, 2, 3, 1, 1, 1, 3, 3, 3, 2, 2, 3, 2, 3, 1, 3, 2, 1, 3, 3, 1, 2, 1, 2, 2, 3, 2, 1, 1, 1, 2, 2, 3, 3, 3, 1, 2, 1, 1, 3, 2, 2, 3, 1, 1, 3, 3, 3, 1, 2, 3, 1, 2, 1, 1, 1, 1, 2, 1, 3, 2, 3, 2, 2, 1"
"N156_M7_normal-wide_C4K7T6L5";"C4K7T6L5";156;7;"normal-wide";"ace-exchange";"2, 3, 1, 2, 2, 3, 2, 1, 3, 3, 2, 1, 3, 1, 3, 1, 1, 2, 2, 3, 2, 1, 1, 3, 1, 1, 2, 2, 3, 1, 1, 3, 3, 2, 3, 2, 2, 3, 3, 3, 2, 3, 2, 2, 1, 1, 3, 2, 3, 1, 1, 2, 1, 3, 1, 1, 2, 3, 2, 1, 3, 3, 1, 3, 3, 3, 2, 1, 3, 1, 2, 3, 3, 2, 1, 2, 2, 1, 3, 2, 1, 3, 2, 1, 1, 3, 2, 1, 1, 3, 2, 1, 1, 2, 2, 2, 2, 1, 3, 3, 3, 2, 2, 1, 1, 3, 3, 3, 1, 1, 1, 2, 2, 3, 2, 3, 1, 1, 2, 1, 3, 3, 1, 1, 1, 1, 3, 2, 2, 3, 1, 1, 1, 3, 3, 2, 2, 3, 2, 3, 1, 3, 1, 3, 2, 2, 3, 2, 2, 2, 3, 1, 1, 2, 2, 2"
"N156_M7_normal-wide_C4K7T6L5";"C4K7T6L5";156;7;"normal-wide";"k-means-exchange";"3, 3, 3, 3, 1, 2, 3, 2, 2, 3, 3, 1, 1, 2, 2, 2, 1, 2, 1, 3, 1, 2, 2, 1, 3, 2, 1, 2, 2, 2, 3, 3, 1, 3, 3, 1, 2, 2, 1, 2, 2, 1, 2, 1, 3, 3, 1, 3, 1, 3, 1, 2, 2, 2, 1, 3, 3, 3, 1, 2, 1, 3, 2, 3, 3, 3, 2, 1, 1, 2, 3, 2, 2, 3, 1, 2, 1, 3, 3, 1, 2, 2, 1, 1, 1, 3, 3, 2, 3, 2, 3, 3, 3, 3, 2, 3, 2, 1, 1, 3, 1, 3, 2, 3, 2, 2, 3, 3, 1, 2, 1, 1, 3, 1, 1, 2, 2, 1, 1, 1, 3, 2, 2, 1, 3, 1, 2, 2, 3, 2, 1, 2, 2, 3, 1, 2, 3, 1, 1, 2, 3, 1, 1, 1, 3, 2, 2, 3, 3, 1, 1, 3, 1, 1, 2, 1"
